iter	Accuracy	Logloss
356	0.6842974427	0.5917588065
357	0.6840615268	0.5916926471
358	0.6839199774	0.5915057787
359	0.6843446258	0.5913906428
360	0.684674908	0.5912681178
361	0.6843446258	0.5911212657
362	0.6846277248	0.5910530668
363	0.6843446258	0.5909852455
364	0.6845805417	0.5908895194
365	0.6844389922	0.5907836103
366	0.684391809	0.5906829765
367	0.6848164575	0.5905964547
368	0.6847220912	0.5905410587
369	0.6846277248	0.5904637989
370	0.6850995565	0.5903794209
371	0.685241106	0.5902920143
372	0.6856657545	0.5901742779
373	0.6856185713	0.590114883
374	0.6860432198	0.5900033325
375	0.6859960366	0.5899331807
376	0.6860432198	0.5898325958
377	0.6863735019	0.5897620895
378	0.6864678683	0.589682026
379	0.6863263188	0.5896157242
380	0.6864206851	0.5894789744
381	0.6865622346	0.5893218115
382	0.6862791356	0.5892213444
383	0.6863735019	0.5891603437
384	0.6867509673	0.5889962694
385	0.6866094178	0.5889288166
386	0.6864206851	0.5887753834
387	0.6864206851	0.58868713
388	0.6864206851	0.5886044606
389	0.6865150514	0.5883970884
390	0.6862791356	0.5882510739
391	0.6866094178	0.5881104606
392	0.6867037841	0.5880315364
393	0.6867509673	0.5879832244
394	0.6871284326	0.5878265598
395	0.6870812494	0.5877478558
396	0.6876474474	0.587610257
397	0.6879305464	0.5874725165
398	0.6881664622	0.5873955659
399	0.6882608285	0.5872937591
400	0.6883551949	0.5871793129
401	0.6885911107	0.5870710985
402	0.6885439275	0.5870095464
403	0.6887326602	0.5869029188
404	0.6888742097	0.5867728073
405	0.6885911107	0.5866281924
406	0.6885439275	0.586534274
407	0.6886382939	0.5864326366
408	0.6890157592	0.5863176064
409	0.688968576	0.5862374808
410	0.688968576	0.5861628312
411	0.6888270265	0.5860803322
412	0.6892044918	0.586015967
413	0.6891101255	0.5858189448
414	0.6892988582	0.5857015307
415	0.6892044918	0.5856303079
416	0.6893460413	0.5855526659
417	0.6891573087	0.5854463799
418	0.6894875908	0.5853321022
419	0.6895819572	0.5852360628
420	0.6896291403	0.5851181295
421	0.6897235067	0.5850544011
422	0.6900537888	0.5849293059
423	0.6905256205	0.5848567883
424	0.6905256205	0.5847720488
425	0.6907615363	0.5845944208
426	0.6910918184	0.5844032013
427	0.6911390016	0.5843436619
428	0.6911861848	0.584272714
429	0.6914692838	0.5841572898
430	0.6911861848	0.584052722
431	0.6912333679	0.5839899609
432	0.6916580164	0.5838820435
433	0.6917995659	0.583803584
434	0.6919411154	0.5836849693
435	0.6923657639	0.5835931754
436	0.6921298481	0.5834906821
437	0.6924601302	0.5833559537
438	0.6924129471	0.5831900173
439	0.6922713976	0.5830706925
440	0.6922713976	0.5829559467
441	0.6923657639	0.582769139
442	0.6925544966	0.58268199
443	0.6925544966	0.5826293644
444	0.6926960461	0.5824698133
445	0.6927432292	0.5823848987
446	0.6927904124	0.5823330996
447	0.6928847787	0.5821925815
448	0.6928375955	0.5821464521
449	0.6933566104	0.5820001581
450	0.693545343	0.5819295607
451	0.6939228083	0.5818078354
452	0.694111541	0.5816869536
453	0.6942530905	0.5816109426
454	0.694111541	0.5814988666
455	0.694111541	0.5813221841
456	0.694111541	0.5811445396
457	0.6940643578	0.5810330149
458	0.6943002737	0.5809064997
459	0.69439464	0.5807953837
460	0.6945833727	0.5807212877
461	0.6947721053	0.5806144327
462	0.694677739	0.5805449395
463	0.6950552043	0.5804742525
464	0.6949136548	0.5804064529
465	0.6951967538	0.5803262418
466	0.6953383033	0.5801582008
467	0.695527036	0.580062261
468	0.695527036	0.5799148205
469	0.6953854865	0.5798467425
470	0.6954326696	0.5797324247
471	0.695527036	0.579613391
472	0.6956214023	0.579491329
473	0.6954798528	0.5793921804
474	0.6955742191	0.5792781718
